Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers,Sector GDP,Bachelors,Diploma,Master,Doctorate,Pre-University Diploma
2015,Public administration and defence; compulsory social security,F,17198,22639,17198,44294.0,84.0,0.0,7.0,0.0,0.0
2015,Education,F,34952,20199,34620,10862.0,114.0,75.0,13.0,0.0,0.0
2015,Human health and social work activities,F,15839,18263,15774,11397.0,21.0,0.0,6.0,10.0,0.0
2015,"Arts, entertainment and recreation",F,1498,22153,1498,4059.5,342.0,0.0,0.0,0.0,0.0
2015,Other service activities,F,3121,11331,3074,4059.5,0.0,0.0,0.0,0.0,0.0
2015,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,105177,2909,105177,3473.0,0.0,0.0,0.0,0.0,0.0
2015,"Agriculture, forestry and fishing",M,24006,5186,23867,950.0,0.0,0.0,0.0,0.0,0.0
2015,Mining and quarrying,M,94860,24030,94658,221041.0,0.0,0.0,0.0,0.0,0.0
2015,Manufacturing,M,133150,9528,132611,52489.0,0.0,0.0,0.0,0.0,0.0
2015,"Electricity, gas, steam and air conditioning supply",M,18833,21422,18833,1975.0,0.0,0.0,0.0,0.0,0.0
2015,"Water supply; sewerage, waste management and remediation activities",M,12346,13154,12346,1975.0,0.0,0.0,0.0,0.0,0.0
2015,Construction,M,780528,5951,778682,60693.0,0.0,0.0,0.0,0.0,0.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,227552,7454,224826,51465.0,0.0,0.0,0.0,0.0,0.0
2015,Transportation and storage,M,55674,12494,54973,21657.0,0.0,0.0,0.0,0.0,0.0
2015,Accommodation and food service activities,M,37848,8691,37756,6231.0,0.0,0.0,0.0,0.0,0.0
2015,Information and communication,M,10320,22424,10320,10109.0,0.0,0.0,3.0,1.0,0.0
2015,Financial and insurance activities,M,9316,23465,9132,45320.0,82.0,0.0,14.0,0.0,0.0
2015,Real estate activities,M,11364,13982,10931,38762.0,0.0,0.0,0.0,0.0,0.0
2015,"Professional, scientific and technical activities",M,26969,10619,26642,9765.5,117.0,0.0,4.0,0.0,0.0
2015,Administrative and support service activities,M,51620,7643,51580,9765.5,0.0,0.0,0.0,0.0,0.0
2015,Public administration and defence; compulsory social security,M,83708,26144,83684,44294.0,22.0,0.0,0.0,0.0,0.0
2015,Education,M,16007,19771,15970,10862.0,25.0,47.0,10.0,0.0,0.0
2015,Human health and social work activities,M,14348,19635,14259,11397.0,0.0,0.0,2.0,2.0,0.0
2015,"Arts, entertainment and recreation",M,13061,15501,13061,4059.5,38.0,0.0,0.0,0.0,0.0
2015,Other service activities,M,10914,8499,10914,4059.5,0.0,0.0,0.0,0.0,0.0
2015,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,57199,2682,57199,3473.0,0.0,0.0,0.0,0.0,0.0
2016,"Agriculture, forestry and fishing",F,0,0,0,1016.0,0.0,0.0,0.0,0.0,0.0
2016,Mining and quarrying,F,6639,21653,6639,163984.0,0.0,0.0,0.0,0.0,0.0
2016,Manufacturing,F,2193,15197,2119,46814.0,0.0,0.0,0.0,0.0,0.0
2016,"Electricity, gas, steam and air conditioning supply",F,1525,20523,1525,2989.5,0.0,0.0,0.0,0.0,0.0
2016,"Water supply; sewerage, waste management and remediation activities",F,604,17974,604,2989.5,0.0,0.0,0.0,0.0,0.0
2016,Construction,F,6432,12278,6270,77079.0,0.0,0.0,0.0,0.0,0.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,27552,9270,27328,46981.0,0.0,0.0,0.0,0.0,0.0
2016,Transportation and storage,F,10492,15167,10492,24927.0,0.0,0.0,0.0,0.0,0.0
2016,Accommodation and food service activities,F,17274,8513,17274,5620.0,0.0,0.0,0.0,0.0,0.0
2016,Information and communication,F,2460,22745,2460,9810.0,0.0,0.0,7.0,0.0,0.0
2016,Financial and insurance activities,F,5852,22568,5782,47019.0,354.0,0.0,12.0,0.0,0.0
2016,Real estate activities,F,772,18883,744,42776.0,0.0,0.0,0.0,0.0,0.0
2016,"Professional, scientific and technical activities",F,3361,12401,3333,10540.0,0.0,0.0,0.0,0.0,0.0
2016,Administrative and support service activities,F,5800,8429,5702,10540.0,0.0,0.0,0.0,0.0,0.0
2016,Public administration and defence; compulsory social security,F,15425,24210,15425,43857.0,109.0,0.0,8.0,0.0,0.0
2016,Education,F,33582,23485,33280,12089.0,205.0,127.0,26.0,0.0,0.0
2016,Human health and social work activities,F,16226,19939,16170,14009.0,25.0,0.0,12.0,6.0,0.0
2016,"Arts, entertainment and recreation",F,884,21520,884,4233.0,679.0,0.0,0.0,0.0,0.0
2016,Other service activities,F,4768,7758,4643,4233.0,0.0,0.0,0.0,0.0,0.0
2016,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,107621,2989,107621,3817.0,0.0,0.0,0.0,0.0,0.0
